kernel,spacetime,array_part,latency,simd,path
mm,0,"16,16,16","8,8",2,"autosa_hls_refs/mm/st0_ap16,16,16_lat8,8_simd2/mm_st0_ap16,16,16_lat8,8_simd2_kernel_kernel.cpp"
mm,0,"32,32,32","16,16",4,"autosa_hls_refs/mm/st0_ap32,32,32_lat16,16_simd4/mm_st0_ap32,32,32_lat16,16_simd4_kernel_kernel.cpp"
mm,0,"64,64,64","32,32",8,"autosa_hls_refs/mm/st0_ap64,64,64_lat32,32_simd8/mm_st0_ap64,64,64_lat32,32_simd8_kernel_kernel.cpp"
mm,1,"16,16,16","8,8",2,"autosa_hls_refs/mm/st1_ap16,16,16_lat8,8_simd2/mm_st1_ap16,16,16_lat8,8_simd2_kernel_kernel.cpp"
mm,1,"32,32,32","16,16",4,"autosa_hls_refs/mm/st1_ap32,32,32_lat16,16_simd4/mm_st1_ap32,32,32_lat16,16_simd4_kernel_kernel.cpp"
mm,1,"64,64,64","32,32",8,"autosa_hls_refs/mm/st1_ap64,64,64_lat32,32_simd8/mm_st1_ap64,64,64_lat32,32_simd8_kernel_kernel.cpp"
mm,2,"16,16,16","8,8",2,"autosa_hls_refs/mm/st2_ap16,16,16_lat8,8_simd2/mm_st2_ap16,16,16_lat8,8_simd2_kernel_kernel.cpp"
mm,2,"32,32,32","16,16",4,"autosa_hls_refs/mm/st2_ap32,32,32_lat16,16_simd4/mm_st2_ap32,32,32_lat16,16_simd4_kernel_kernel.cpp"
mm,2,"64,64,64","32,32",8,"autosa_hls_refs/mm/st2_ap64,64,64_lat32,32_simd8/mm_st2_ap64,64,64_lat32,32_simd8_kernel_kernel.cpp"
mm,3,"16,16,16","8,8",2,"autosa_hls_refs/mm/st3_ap16,16,16_lat8,8_simd2/mm_st3_ap16,16,16_lat8,8_simd2_kernel_kernel.cpp"
mm,3,"32,32,32","16,16",4,"autosa_hls_refs/mm/st3_ap32,32,32_lat16,16_simd4/mm_st3_ap32,32,32_lat16,16_simd4_kernel_kernel.cpp"
mm,3,"64,64,64","32,32",8,"autosa_hls_refs/mm/st3_ap64,64,64_lat32,32_simd8/mm_st3_ap64,64,64_lat32,32_simd8_kernel_kernel.cpp"
mm,4,"16,16,16","8,8",2,"autosa_hls_refs/mm/st4_ap16,16,16_lat8,8_simd2/mm_st4_ap16,16,16_lat8,8_simd2_kernel_kernel.cpp"
mm,4,"32,32,32","16,16",4,"autosa_hls_refs/mm/st4_ap32,32,32_lat16,16_simd4/mm_st4_ap32,32,32_lat16,16_simd4_kernel_kernel.cpp"
mm,4,"64,64,64","32,32",8,"autosa_hls_refs/mm/st4_ap64,64,64_lat32,32_simd8/mm_st4_ap64,64,64_lat32,32_simd8_kernel_kernel.cpp"
mm,5,"16,16,16","8,8",2,"autosa_hls_refs/mm/st5_ap16,16,16_lat8,8_simd2/mm_st5_ap16,16,16_lat8,8_simd2_kernel_kernel.cpp"
mm,5,"32,32,32","16,16",4,"autosa_hls_refs/mm/st5_ap32,32,32_lat16,16_simd4/mm_st5_ap32,32,32_lat16,16_simd4_kernel_kernel.cpp"
mm,5,"64,64,64","32,32",8,"autosa_hls_refs/mm/st5_ap64,64,64_lat32,32_simd8/mm_st5_ap64,64,64_lat32,32_simd8_kernel_kernel.cpp"
